 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "Xp",  "Yp"
3.18219,42.0659,-0.208348,1.08383,1097,59,-4.7796,-24.8632,-0.00191527,0.00766247,0.00247006,0.00826197,-0.00251477,1.3327,0.00925518,2.97384,43.1498
3.44374,42.0659,-0.208827,1.08571,1103,59,-4.79058,-24.9064,-0.0019264,0.00763109,0.00252006,0.00825486,-0.00255016,1.32815,0.00943634,3.23491,43.1516
3.70529,42.0659,-0.209215,1.08824,1109,59,-4.79947,-24.9645,-0.00198382,0.00748508,0.00253791,0.00812241,-0.00262115,1.32476,0.00877681,3.49607,43.1542
3.96684,42.0659,-0.209545,1.09124,1115,59,-4.80704,-25.0332,-0.00200644,0.00722831,0.00248791,0.00785592,-0.00263404,1.32369,0.0088098,3.75729,43.1572
4.22839,42.0659,-0.21012,1.09397,1121,59,-4.82014,-25.0959,-0.00192848,0.00685785,0.00238156,0.00746185,-0.00253249,1.32242,0.00917019,4.01827,43.1599
4.48994,42.0659,-0.210588,1.09589,1127,59,-4.83095,-25.1399,-0.0017863,0.00643247,0.00222039,0.00699397,-0.0023478,1.32311,0.00931838,4.27935,43.1618
4.75149,42.0659,-0.211142,1.09806,1133,59,-4.84364,-25.1898,-0.00168414,0.00604699,0.00203988,0.0065522,-0.00218935,1.32801,0.00948532,4.54035,43.164
5.01304,42.0659,-0.211924,1.10062,1139,59,-4.86158,-25.2485,-0.00169518,0.00572447,0.00188179,0.00617444,-0.00214516,1.33608,0.00997023,4.80111,43.1666
5.27459,42.0659,-0.212621,1.10333,1145,59,-4.8776,-25.3107,-0.00177902,0.00543181,0.00176621,0.00584118,-0.00218839,1.34304,0.0102225,5.06197,43.1693
5.53614,42.0659,-0.213068,1.10527,1151,59,-4.88784,-25.355,-0.00187292,0.00519684,0.0016126,0.0055473,-0.00222338,1.3568,0.00917434,5.32307,43.1712
5.79769,42.0659,-0.213329,1.1066,1157,59,-4.89381,-25.3856,-0.00196881,0.00504713,0.00139801,0.00531544,-0.00223712,1.38118,0.00846775,5.58436,43.1725
6.05924,42.0659,-0.213291,1.1083,1163,59,-4.89294,-25.4245,-0.00205866,0.00500241,0.00118934,0.00519735,-0.00225361,1.40833,0.00837438,5.84595,43.1742
6.32079,42.0659,-0.213483,1.11057,1169,59,-4.89739,-25.4766,-0.00213882,0.00504603,0.00105216,0.00519694,-0.00228973,1.42834,0.00849302,6.10731,43.1765
6.58234,42.0659,-0.214122,1.11315,1175,59,-4.91205,-25.5359,-0.00221795,0.00515087,0.000993311,0.00528242,-0.0023495,1.43913,0.00862347,6.36822,43.1791
6.84389,42.0659,-0.215165,1.11595,1181,59,-4.93592,-25.6002,-0.00229815,0.00531733,0.000975232,0.00544024,-0.00242106,1.44543,0.00880565,6.62872,43.1819
7.10544,42.0659,-0.216654,1.11893,1187,59,-4.97011,-25.6685,-0.00238821,0.00551819,0.00099778,0.00564216,-0.00251218,1.44718,0.0085304,6.88878,43.1849
7.36699,42.0659,-0.21766,1.12182,1193,59,-4.99317,-25.7347,-0.00245669,0.00571595,0.00105926,0.00585101,-0.00259175,1.44398,0.00820776,7.14933,43.1878
7.62854,42.0659,-0.218395,1.1237,1199,59,-5.00995,-25.7778,-0.00245633,0.00590339,0.00114658,0.00605779,-0.00261074,1.43693,0.00775946,7.41014,43.1896
7.89009,42.0659,-0.218826,1.12533,1205,59,-5.01991,-25.8153,-0.00243543,0.00610311,0.00123115,0.00627708,-0.0026094,1.43042,0.00780812,7.67126,43.1913
8.15164,42.0659,-0.218959,1.12744,1211,59,-5.02295,-25.8637,-0.00244987,0.00632138,0.00129067,0.00650736,-0.00263584,1.42769,0.00782067,7.93268,43.1934
8.41319,42.0659,-0.218857,1.1299,1217,59,-5.02057,-25.9201,-0.00248192,0.00654648,0.00135308,0.0067449,-0.00268034,1.42519,0.00829058,8.19433,43.1958
8.67474,42.0659,-0.219198,1.13299,1223,59,-5.02846,-25.9909,-0.00246379,0.00676264,0.00139886,0.00697007,-0.00267121,1.42359,0.00897933,8.45554,43.1989
8.93629,42.0659,-0.219986,1.1362,1229,59,-5.04652,-26.0645,-0.00240683,0.00701454,0.00141372,0.0072221,-0.00261439,1.42502,0.00884616,8.7163,43.2021
9.19784,42.0659,-0.220981,1.13919,1235,59,-5.06928,-26.1332,-0.00241968,0.00728648,0.00139507,0.00748301,-0.00261621,1.43084,0.00782201,8.97686,43.2051
9.45939,42.0659,-0.221672,1.14122,1241,59,-5.08515,-26.1797,-0.00251626,0.00753537,0.00137339,0.00771964,-0.00270053,1.43742,0.00665314,9.23771,43.2071
9.72094,42.0659,-0.222279,1.14328,1247,59,-5.09908,-26.2271,-0.002648,0.00772362,0.00134762,0.00789586,-0.00282024,1.44367,0.00645451,9.49866,43.2092
9.98249,42.0659,-0.223237,1.14502,1253,59,-5.12106,-26.267,-0.00281304,0.00783255,0.00130475,0.00799013,-0.00297062,1.4506,0.00663599,9.75925,43.211
10.244,42.0659,-0.224035,1.14718,1259,59,-5.13935,-26.3165,-0.00297299,0.00786641,0.00125151,0.00800903,-0.00311561,1.45733,0.0068709,10.02,43.2131
10.5056,42.0659,-0.224892,1.14898,1265,59,-5.15904,-26.3577,-0.0030482,0.00784143,0.00118873,0.00796968,-0.00317646,1.46332,0.00691502,10.2807,43.2149
10.7671,42.0659,-0.225094,1.15088,1271,59,-5.16372,-26.4013,-0.0030431,0.00771023,0.00115294,0.00783245,-0.00316532,1.46518,0.00684833,10.542,43.2168
11.0287,42.0659,-0.225977,1.15224,1277,59,-5.18396,-26.4327,-0.00299857,0.00746115,0.00118169,0.00759299,-0.00313041,1.45969,0.00669212,10.8027,43.2182
11.2902,42.0659,-0.227196,1.15319,1283,59,-5.21197,-26.4544,-0.00296205,0.00716369,0.0012364,0.00731248,-0.00311083,1.45104,0.00684451,11.063,43.2191
11.5518,42.0659,-0.228159,1.15428,1289,59,-5.23396,-26.4793,-0.00291543,0.0068325,0.00134515,0.00701472,-0.00309765,1.43615,0.00752348,11.3236,43.2202
11.8133,42.0659,-0.228994,1.15567,1295,59,-5.25319,-26.5113,-0.0027985,0.00647295,0.00149959,0.00670947,-0.00303502,1.41437,0.00841081,11.5843,43.2216
12.0749,42.0659,-0.230186,1.15755,1301,59,-5.28052,-26.5544,-0.00256663,0.00610933,0.00169413,0.0064284,-0.00288571,1.38464,0.00862051,11.8447,43.2235
12.3364,42.0659,-0.231272,1.1597,1307,59,-5.30543,-26.6037,-0.0022399,0.00576083,0.00192416,0.00619953,-0.0026786,1.34663,0.00849857,12.1052,43.2256
12.598,42.0659,-0.231724,1.16189,1313,59,-5.31576,-26.654,-0.00182734,0.00546526,0.00219206,0.00607344,-0.00243552,1.30016,0.00809631,12.3663,43.2278
12.8595,42.0659,-0.232097,1.16443,1319,59,-5.32429,-26.7123,-0.00124936,0.00524216,0.00250931,0.00609904,-0.00210624,1.24173,0.00873614,12.6274,43.2304
-19.3111,41.8044,-0.17355,0.914225,581,65,-3.98127,-20.9725,-0.000862705,0.00206161,0.00106702,0.00240954,-0.00121064,1.25559,0.0085583,-19.4846,42.7186
-19.0495,41.8044,-0.17302,0.915098,587,65,-3.96909,-20.9925,-0.000704926,0.00241486,0.00129623,0.00288314,-0.0011732,1.22412,0.00876887,-19.2226,42.7195
-18.788,41.8044,-0.173348,0.91676,593,65,-3.97663,-21.0306,-0.000674538,0.00283022,0.00137729,0.00330669,-0.00115101,1.23774,0.00811966,-18.9613,42.7211
-18.5264,41.8044,-0.174082,0.918837,599,65,-3.99348,-21.0783,-0.000734375,0.00327774,0.00133955,0.00368387,-0.00114051,1.27642,0.00812625,-18.7005,42.7232
-18.2649,41.8044,-0.174747,0.921,605,65,-4.00876,-21.1279,-0.000872124,0.00372088,0.00125512,0.00404149,-0.00119273,1.32071,0.00771105,-18.4396,42.7254
-18.0033,41.8044,-0.175002,0.923405,611,65,-4.01461,-21.1831,-0.00103512,0.00411298,0.00116144,0.00436288,-0.00128502,1.35887,0.00809995,-18.1784,42.7278
-17.7418,41.8044,-0.174907,0.926343,617,65,-4.01237,-21.2505,-0.00117913,0.00443563,0.00103037,0.00461874,-0.00136224,1.39492,0.00837971,-17.9167,42.7307
-17.4802,41.8044,-0.174657,0.928454,623,65,-4.00664,-21.2989,-0.00125581,0.00470119,0.000896217,0.00483311,-0.00138773,1.42466,0.00884005,-17.6549,42.7328
-17.2187,41.8044,-0.175194,0.930082,629,65,-4.01895,-21.3363,-0.0013147,0.00493664,0.00082163,0.00504282,-0.00142088,1.44227,0.0087349,-17.3939,42.7345
-16.9571,41.8044,-0.176117,0.931502,635,65,-4.04016,-21.3688,-0.00135026,0.00507504,0.000752815,0.00516206,-0.00143728,1.45571,0.00852135,-17.1333,42.7359
-16.6956,41.8044,-0.177056,0.933083,641,65,-4.06168,-21.4051,-0.00135437,0.00508269,0.000665448,0.00515076,-0.00142244,1.46886,0.00901507,-16.8727,42.7375
-16.434,41.8044,-0.178283,0.934714,647,65,-4.08983,-21.4425,-0.00130216,0.0049881,0.000602275,0.00504525,-0.0013593,1.47619,0.0101531,-16.6123,42.7391
-16.1725,41.8044,-0.17827,0.936876,653,65,-4.08956,-21.4921,-0.00122012,0.00480459,0.000570296,0.0048581,-0.00127362,1.47724,0.0116579,-16.3508,42.7413
-15.9109,41.8044,-0.178584,0.938696,659,65,-4.09671,-21.5338,-0.00113147,0.00455179,0.00052241,0.00459941,-0.00117909,1.47989,0.0126852,-16.0895,42.7431
-15.6494,41.8044,-0.177727,0.940483,665,65,-4.07709,-21.5749,-0.00103756,0.0042696,0.000452988,0.00430798,-0.00107595,1.48626,0.0107709,-15.8271,42.7449
-15.3878,41.8044,-0.177227,0.942187,671,65,-4.06562,-21.6139,-0.000921574,0.00402298,0.000378982,0.00405186,-0.000950453,1.49474,0.0091872,-15.5651,42.7466
-15.1263,41.8044,-0.177344,0.944206,677,65,-4.06828,-21.6603,-0.000803969,0.00381051,0.000302801,0.00383029,-0.000823754,1.50555,0.00907502,-15.3036,42.7486
-14.8647,41.8044,-0.179105,0.94657,683,65,-4.10873,-21.7145,-0.000749817,0.00361466,0.000229987,0.00362675,-0.000761903,1.51829,0.00850213,-15.0439,42.751
-14.6032,41.8044,-0.179544,0.948832,689,65,-4.11879,-21.7664,-0.000721311,0.00351175,0.000156,0.0035175,-0.000727052,1.53401,0.00866195,-14.7827,42.7532
-14.3417,41.8044,-0.179286,0.950696,695,65,-4.11288,-21.8091,-0.000721116,0.00355136,6.9604e-05,0.0035525,-0.00072225,1.55451,0.00871863,-14.5209,42.7551
-14.0801,41.8044,-0.179435,0.951988,701,65,-4.11629,-21.8388,-0.000725717,0.00371174,-7.7829e-06,0.00371176,-0.000725731,-1.56904,0.00950825,-14.2595,42.7564
-13.8186,41.8044,-0.180044,0.953344,707,65,-4.13027,-21.8699,-0.000725301,0.00396012,-4.89063e-05,0.00396063,-0.000725812,-1.56036,0.011945,-13.9986,42.7577
-13.557,41.8044,-0.180324,0.955265,713,65,-4.13669,-21.914,-0.00072757,0.00418939,-5.34941e-05,0.00418997,-0.000728152,-1.55992,0.0129945,-13.7373,42.7596
-13.2955,41.8044,-0.180217,0.957336,719,65,-4.13423,-21.9614,-0.000701521,0.00437872,-3.97303e-05,0.00437903,-0.000701832,-1.56298,0.0123969,-13.4757,42.7617
-13.0339,41.8044,-0.179853,0.958965,725,65,-4.12586,-21.9988,-0.000715433,0.00456916,-8.61208e-07,0.00456917,-0.000715433,-1.57063,0.009627,-13.2138,42.7633
-12.7724,41.8044,-0.1803,0.960739,731,65,-4.13611,-22.0395,-0.000841781,0.00474218,0.000125449,0.004745,-0.000844598,1.54835,0.00812759,-12.9527,42.7651
-12.5108,41.8044,-0.18076,0.962735,737,65,-4.14666,-22.0853,-0.00105369,0.00489516,0.000272409,0.00490761,-0.00106614,1.52513,0.00954351,-12.6916,42.7671
-12.2493,41.8044,-0.181356,0.964311,743,65,-4.16037,-22.1215,-0.00127928,0.00502453,0.000412236,0.00505137,-0.00130612,1.50577,0.0119635,-12.4306,42.7687
-11.9877,41.8044,-0.181705,0.966457,749,65,-4.16832,-22.1707,-0.00153758,0.0051416,0.000491396,0.00517756,-0.00157354,1.49775,0.0122451,-12.1694,42.7708
-11.7262,41.8044,-0.181399,0.967682,755,65,-4.1613,-22.1988,-0.00188566,0.00521518,0.000483154,0.0052479,-0.00191839,1.50317,0.0114314,-11.9075,42.7721
-11.4646,41.8044,-0.18121,0.968803,761,65,-4.15698,-22.2245,-0.00229749,0.00526651,0.000418033,0.00528955,-0.00232052,1.51575,0.0107004,-11.6458,42.7732
-11.2031,41.8044,-0.18204,0.970858,767,65,-4.176,-22.2717,-0.00265741,0.0053418,0.000325316,0.00535501,-0.00267062,1.53022,0.0104019,-11.3851,42.7752
-10.9415,41.8044,-0.183381,0.973679,773,65,-4.20681,-22.3364,-0.00287857,0.00546391,0.000215856,0.00546949,-0.00288415,1.54495,0.00969293,-11.1249,42.7781
-10.68,41.8044,-0.185041,0.976965,779,65,-4.24488,-22.4118,-0.0029733,0.00554694,6.7257e-05,0.00554747,-0.00297383,1.5629,0.00918782,-10.865,42.7813
-10.4184,41.8044,-0.185509,0.979807,785,65,-4.25559,-22.4769,-0.00299173,0.0055903,-9.26523e-05,0.0055913,-0.00299273,-1.56,0.00918604,-10.6039,42.7842
-10.1569,41.8044,-0.186379,0.981958,791,65,-4.27556,-22.5263,-0.00295904,0.0056614,-0.000242087,0.00566819,-0.00296583,-1.54274,0.00947401,-10.3432,42.7863
