"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Time_0","deplacement_(mm)","Charge_(KN)"
0,-3.33674,-0.789118,0,0,-5.51895e-17,-6.86501e-17,1.39181e-19,-4.6984e-17,-7.68541e-17,0.000858355,-2.96421,0.0873111,0,0,-5.76584e-17,-6.68384e-17,8.95938e-20,-4.45146e-17,-7.99823e-17,-0.00729146,10.5517,-0.0486,0.029
1,-3.33674,-0.789118,-0.00147174,3.32717e-05,-5.13659e-06,3.86068e-06,-4.53892e-07,5.17637e-05,-5.304e-05,-0.021374,-2.96421,0.0873111,-0.00147038,1.71122e-05,-3.98278e-06,4.16228e-06,-2.7365e-06,4.51232e-05,-4.49439e-05,-0.0633125,12.3163,-0.047,0.029
2,-3.33674,-0.789118,-0.0170619,-0.0017988,-8.20266e-06,8.42938e-06,-4.73162e-07,5.38843e-05,-5.36577e-05,-0.0183927,-2.96421,0.0873111,-0.0171542,-0.00178558,-1.08285e-05,4.77549e-06,-3.44889e-06,4.42751e-05,-5.03282e-05,-0.0277486,82.6848,-0.0457,0.0309
3,-3.33674,-0.789118,-0.0173156,-0.00151248,-3.09966e-06,7.67693e-06,-8.09549e-07,5.51413e-05,-5.05641e-05,-0.0313367,-2.96421,0.0873111,-0.0174006,-0.00151094,-6.75837e-06,7.59603e-06,-5.49114e-06,4.70114e-05,-4.61738e-05,-0.0818447,83.1824,-0.047,0.0367
4,-3.33674,-0.789118,-0.0172384,-0.00188074,-3.6346e-06,6.8121e-06,-3.76289e-07,5.63527e-05,-5.31752e-05,-0.0189776,-2.96421,0.0873111,-0.0173315,-0.00186327,-6.60787e-06,6.45152e-06,-4.8414e-06,4.68776e-05,-4.70338e-05,-0.076553,83.6824,-0.047,0.0309
5,-3.33674,-0.789118,-0.0178691,-0.00194459,-4.27202e-06,4.79758e-06,-1.47492e-06,5.43723e-05,-5.38467e-05,-0.0228776,-2.96421,0.0873111,-0.0179672,-0.00191503,-6.45543e-06,7.44143e-06,-4.08072e-06,4.74816e-05,-4.64956e-05,-0.065423,84.1824,-0.0473,0.0338
6,-3.33674,-0.789118,-0.0178484,-0.00173581,-1.44009e-06,7.13486e-06,2.13824e-06,5.69661e-05,-5.12715e-05,-0.0103885,-2.96421,0.0873111,-0.0179428,-0.00171134,-4.33945e-06,4.59886e-06,-4.34444e-06,4.88769e-05,-4.86174e-05,-0.111407,84.6823,-0.049,0.0319
7,-3.33674,-0.789118,-0.0179679,-0.00160141,-8.77537e-07,5.46767e-06,-1.11444e-06,5.552e-05,-5.09297e-05,-0.00666755,-2.96421,0.0873111,-0.0180671,-0.00160311,-4.85921e-06,5.54153e-06,-3.83781e-06,4.75829e-05,-4.69004e-05,-0.0603932,85.1824,-0.0464,0.0329
8,-3.33674,-0.789118,-0.0179877,-0.00159633,-3.89344e-06,5.61422e-06,8.00581e-07,5.54457e-05,-5.37249e-05,0.0346867,-2.96421,0.0873111,-0.0180864,-0.00159532,-4.70209e-06,6.419e-06,-3.70275e-06,4.87397e-05,-4.70229e-05,-0.0320287,85.6823,-0.0477,0.0348
9,-3.33674,-0.789118,-0.018586,0.00298547,-1.79554e-05,8.75629e-05,7.49479e-06,0.000111146,-4.15382e-05,0.169008,-2.96421,0.0873111,-0.0185897,0.00286754,-2.08754e-05,9.71189e-05,6.3343e-06,0.000111223,-3.4979e-05,0.185017,86.1824,-0.0348,0.1826
10,-3.33674,-0.789118,-0.0192239,0.00959193,-4.39167e-05,0.000193567,1.46696e-05,0.00020667,-5.70181e-05,0.36292,-2.96421,0.0873111,-0.0189039,0.00931548,-4.3607e-05,0.000216953,1.90531e-05,0.000225571,-5.2226e-05,0.453773,86.6823,-0.0206,0.3575
11,-3.33674,-0.789118,-0.0181964,0.0147186,-6.21515e-05,0.000275567,2.26771e-05,0.000286855,-7.34405e-05,0.503869,-2.96421,0.0873111,-0.017422,0.0143314,-6.21153e-05,0.000315169,2.9681e-05,0.000322995,-6.9944e-05,0.661685,87.1823,-0.001,0.487
