 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-1.04003,1.70203,0.00292738,-0.0242034,0.00139771,-0.00773782,0.00107511,0.00152253,-0.00786264,0.115581,0.00924799,47,119,1.55654,12.8694,-1.0371,1.67783
-1.02122,1.70203,0.00296777,-0.0241731,0.00171887,-0.0079802,0.000443598,0.00173911,-0.00800045,0.0456092,0.00918047,57,119,1.57802,12.8533,-1.01825,1.67786
-1.00241,1.70203,0.0029963,-0.0241556,0.00201337,-0.00813513,-5.79982e-05,0.0020137,-0.00813546,-0.0057147,0.00926643,67,119,1.59318,12.844,-0.999416,1.67788
-0.983605,1.70203,0.00303009,-0.0241485,0.00227876,-0.00823852,-0.000387377,0.00229301,-0.00825277,-0.036766,0.00920732,77,119,1.61115,12.8402,-0.980575,1.67788
-0.964798,1.70203,0.0030878,-0.0241583,0.00247502,-0.00830474,-0.000513903,0.00249946,-0.00832918,-0.0475293,0.00922703,87,119,1.64184,12.8454,-0.96171,1.67787
-0.945991,1.70203,0.00313601,-0.0242105,0.00253482,-0.00837112,-0.000426543,0.00255148,-0.00838778,-0.0390315,0.0093858,97,119,1.66748,12.8732,-0.942855,1.67782
-0.927184,1.70203,0.00319537,-0.0242794,0.00240672,-0.00841909,-0.000179615,0.0024097,-0.00842207,-0.0165852,0.00944098,107,119,1.69904,12.9098,-0.923989,1.67775
-0.908377,1.70203,0.00326455,-0.0243379,0.00208295,-0.00840539,0.000168118,0.00208565,-0.00840809,0.0160236,0.0095969,117,119,1.73582,12.9409,-0.905113,1.67769
-0.88957,1.70203,0.0033124,-0.0243717,0.00163185,-0.00837037,0.000506268,0.00165741,-0.00839593,0.0504437,0.00984191,127,119,1.76127,12.9589,-0.886258,1.67766
-0.870763,1.70203,0.0033782,-0.024383,0.00106567,-0.00822921,0.000856779,0.00114399,-0.00830752,0.091154,0.0100578,137,119,1.79625,12.9649,-0.867385,1.67765
-0.851956,1.70203,0.00342659,-0.0243257,0.000406713,-0.00803705,0.00117942,0.000568358,-0.0081987,0.136207,0.0101514,147,119,1.82198,12.9344,-0.84853,1.67771
-0.833149,1.70203,0.00345844,-0.0242111,-0.00032612,-0.00778897,0.00145505,-5.24623e-05,-0.00806263,0.185904,0.0100141,157,119,1.83892,12.8734,-0.829691,1.67782
-0.814342,1.70203,0.00347296,-0.0240459,-0.00106648,-0.0075053,0.00167826,-0.000655302,-0.00791648,0.240269,0.00982757,167,119,1.84664,12.7856,-0.810869,1.67799
-0.795535,1.70203,0.0034405,-0.0238851,-0.00174519,-0.0071651,0.00184602,-0.00117617,-0.00773411,0.298998,0.00982142,177,119,1.82938,12.7001,-0.792095,1.67815
-0.776728,1.70203,0.00335556,-0.0237182,-0.00231838,-0.00676872,0.00194558,-0.00158777,-0.00749933,0.359231,0.00972067,187,119,1.78421,12.6114,-0.773373,1.67831
-0.757921,1.70203,0.00324048,-0.0236032,-0.00273515,-0.0063671,0.00196711,-0.00187395,-0.00722831,0.412664,0.00964092,197,119,1.72303,12.5502,-0.754681,1.67843
-0.739114,1.70203,0.00313565,-0.0235483,-0.00296418,-0.00593174,0.00189296,-0.00204278,-0.00685314,0.452992,0.00963984,207,119,1.66727,12.5211,-0.735979,1.67848
-0.720307,1.70203,0.00304296,-0.0235634,-0.00298726,-0.00542279,0.00171674,-0.00210023,-0.00630982,0.476911,0.00952641,217,119,1.61799,12.529,-0.717264,1.67847
-0.7015,1.70203,0.0029765,-0.0235977,-0.00277961,-0.0048476,0.00146349,-0.00202169,-0.00560552,0.477852,0.00947261,227,119,1.58265,12.5473,-0.698524,1.67843
-0.682693,1.70203,0.00291888,-0.023617,-0.0023473,-0.00423248,0.00115081,-0.00180233,-0.00477745,0.442269,0.00927724,237,119,1.55202,12.5576,-0.679774,1.67841
-0.663886,1.70203,0.00287577,-0.0235725,-0.00172714,-0.0035554,0.000828963,-0.00140725,-0.00387529,0.368289,0.00885469,247,119,1.5291,12.5339,-0.661011,1.67846
-0.645079,1.70203,0.00284751,-0.0234828,-0.000947853,-0.00292887,0.000549108,-0.00080583,-0.0030709,0.253096,0.00844416,257,119,1.51406,12.4862,-0.642232,1.67855
-0.626272,1.70203,0.00284033,-0.0233875,-4.82455e-05,-0.00239993,0.000309517,-8.19063e-06,-0.00243998,0.128696,0.0082634,267,119,1.51024,12.4356,-0.623432,1.67864
-0.607465,1.70203,0.00282443,-0.0233099,0.000867503,-0.00195482,0.000110354,0.000871811,-0.00195912,0.039021,0.00816649,277,119,1.50179,12.3943,-0.604641,1.67872
-0.588658,1.70203,0.00284177,-0.0232779,0.00169392,-0.00162431,-4.44257e-05,0.00169451,-0.0016249,-0.0133852,0.00812498,287,119,1.51102,12.3772,-0.585817,1.67875
-0.569852,1.70203,0.00286627,-0.023277,0.00237277,-0.00138514,-0.000161899,0.00237973,-0.0013921,-0.0429761,0.00830638,297,119,1.52404,12.3768,-0.566985,1.67875
-0.551045,1.70203,0.00293371,-0.0233206,0.00287302,-0.00130777,-0.000293403,0.00289351,-0.00132826,-0.0697235,0.00852491,307,119,1.5599,12.4,-0.548111,1.67871
-0.532238,1.70203,0.00303427,-0.0233579,0.00316904,-0.00133262,-0.000462601,0.00321608,-0.00137967,-0.101351,0.00856478,317,119,1.61337,12.4198,-0.529203,1.67867
-0.513431,1.70203,0.00313453,-0.0233821,0.00324745,-0.00145169,-0.000630017,0.00333046,-0.00153469,-0.130989,0.00865015,327,119,1.66669,12.4327,-0.510296,1.67865
-0.494624,1.70203,0.00324812,-0.0233421,0.0031227,-0.00167758,-0.000763575,0.00324123,-0.00179611,-0.154006,0.00871993,337,119,1.72707,12.4114,-0.491375,1.67869
-0.475817,1.70203,0.0033939,-0.0232776,0.00283191,-0.00195317,-0.000865981,0.00298381,-0.00210507,-0.173641,0.00875205,347,119,1.80459,12.3771,-0.472423,1.67875
-0.45701,1.70203,0.00348567,-0.0232495,0.00241601,-0.00221975,-0.000914055,0.00258973,-0.00239347,-0.187813,0.00887536,357,119,1.85341,12.3622,-0.453524,1.67878
-0.438203,1.70203,0.00352126,-0.0231935,0.00193915,-0.00245272,-0.000915568,0.00212238,-0.00263595,-0.197511,0.0087633,367,119,1.87231,12.3324,-0.434681,1.67884
-0.419396,1.70203,0.00350473,-0.023208,0.00144484,-0.00260757,-0.000897095,0.00163455,-0.00279729,-0.208403,0.00854656,377,119,1.86351,12.3401,-0.415891,1.67882
-0.400589,1.70203,0.00346897,-0.0232483,0.00096779,-0.00262889,-0.000879672,0.00117141,-0.00283251,-0.227468,0.00857209,387,119,1.84452,12.3615,-0.39712,1.67878
-0.381782,1.70203,0.00342702,-0.0233164,0.000583094,-0.00251012,-0.000882475,0.000817148,-0.00274417,-0.259256,0.00876263,397,119,1.82221,12.3977,-0.378355,1.67872
-0.362975,1.70203,0.0033943,-0.0233797,0.000313893,-0.00223997,-0.000880867,0.000588245,-0.00251432,-0.301934,0.00882104,407,119,1.8048,12.4314,-0.35958,1.67865
-0.344168,1.70203,0.0033667,-0.0234058,0.000123208,-0.00189199,-0.000822563,0.000416327,-0.00218511,-0.342319,0.00877697,417,119,1.79013,12.4453,-0.340801,1.67863
-0.325361,1.70203,0.00336606,-0.023384,5.36238e-06,-0.00155271,-0.000687407,0.00026528,-0.00181263,-0.361497,0.00870235,427,119,1.78981,12.4337,-0.321995,1.67865
-0.306554,1.70203,0.00337301,-0.0233316,-4.80805e-05,-0.00125646,-0.000506679,0.000136253,-0.00144079,-0.348922,0.00853409,437,119,1.79349,12.4058,-0.303181,1.6787
-0.287747,1.70203,0.00339958,-0.0232705,-0.000102164,-0.00107832,-0.000303646,-1.54193e-05,-0.00116507,-0.278265,0.00842271,447,119,1.8076,12.3733,-0.284347,1.67876
-0.26894,1.70203,0.00342225,-0.0232168,-0.000220476,-0.00101339,-9.40429e-05,-0.000209474,-0.00102439,-0.116451,0.00838756,457,119,1.81967,12.3448,-0.265518,1.67881
