x,y,z,u,v,w_FE,sigma
10.0,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
9.633974596215559,0.3660254037844402,0.0,-0.0014051542992636688,-0.010090674970434976,8.061813205755931e-05,1
9.5,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
10.0,0.5,0.0,-0.002241877891727539,-0.009311652304673311,8.57638092874227e-05,1
9.25467559824487,0.400983722371488,0.0,-0.0012286829142498467,-0.010183722318247707,2.8416886176609128e-05,1
9.521396737744517,0.7828118061189917,0.0,-0.002006426327522061,-0.00931715090098957,1.815687621114354e-05,1
9.0,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
10.0,1.0,0.0,-0.003168599976988273,-0.007975837223629864,2.6642519074706852e-05,1
9.067001304465473,0.7497387688667247,0.0,-0.0015582781407175058,-0.009790220703828215,2.568963727449936e-05,1
8.731243898931995,0.4692819099406025,0.0,-0.0011578508162983618,-0.010230000210863049,3.2769897763249284e-05,1
9.571519695105163,1.279012518549322,0.0,-0.0030806578364342076,-0.008072027070967821,1.5151436207402494e-05,1
8.5,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
9.115550271795264,1.158207193061171,0.0,-0.0021804844315942025,-0.00905459551487554,1.990966077455115e-05,1
10.0,1.5,0.0,-0.004390012551220942,-0.006592547228559191,2.213184750203725e-05,1
8.712140015610718,0.9374092128413682,0.0,-0.001516311681203386,-0.009742511986449537,1.8890087118288942e-05,1
8.372073632420292,0.7696903450118127,0.0,-0.001243238402999537,-0.010061134379869528,2.0095037906261717e-05,1
8.205761043397324,0.4014362842930268,0.0,-0.0011058466527008846,-0.010308005141125922,2.59987822417088e-05,1
8.0,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
9.557523743969114,1.771394102867546,0.0,-0.00436116275045717,-0.006868410321889487,1.9808913992387723e-05,1
9.07789001838561,1.63719920874812,0.0,-0.0031499273814669126,-0.00809679013823323,2.2465969150934763e-05,1
8.275645888758229,1.132760892020857,0.0,-0.0014401250312812916,-0.00979085318596375,-2.0562104718196947e-05,1
8.685513297839753,1.375176180822828,0.0,-0.002085199127180462,-0.009113257462853018,-5.8442355865372645e-06,1
7.716202045109605,0.4161691997972925,0.0,-0.0010664932923553129,-0.010354400214206848,8.91893766802486e-06,1
10.0,2.0,0.0,-0.005488955685607494,-0.005501859948581719,3.1469730223688096e-05,1
7.937893279260705,0.823447481883119,0.0,-0.00117840763830582,-0.010126095481857736,-4.126374550923529e-06,1
7.5,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
7.803283948039958,1.345945164218203,0.0,-0.0014012073247143197,-0.009853504663485101,-5.598695075599268e-05,1
9.548554880611304,2.301426272096517,0.0,-0.005706407119118853,-0.005818010529648855,2.075325973257897e-05,1
8.26658463731788,1.593391891352712,0.0,-0.0020283551832067305,-0.009173506181975655,-5.496697277345789e-05,1
9.069062215148694,2.100686970043919,0.0,-0.0045272895874895695,-0.006978510798970077,1.149388894619701e-05,1
8.666493436729212,1.852586822743542,0.0,-0.0030299780567302095,-0.008221234282346685,-2.12510557378782e-05,1
7.417738707471063,0.8936692497776564,0.0,-0.001135233524124831,-0.010212210801770434,-1.7647197398749343e-05,1
10.0,2.5,0.0,-0.00644396150455179,-0.0049094124414042935,3.6977930475980115e-05,1
7.252001221938241,0.4025992566782479,0.0,-0.001047654337485541,-0.010403413091238154,4.093269231948292e-06,1
7.321429885488125,1.376279339319969,0.0,-0.0013115297966774836,-0.010042742971512125,-5.5648661008994183e-05,1
8.269669595528674,2.071023276836128,0.0,-0.0028458632525257084,-0.00826148391654662,-7.689412240421446e-05,1
9.116840225396354,2.586231158278938,0.0,-0.005839781389951421,-0.005823678639218488,1.0680228307068366e-05,1
7.551588621274673,1.794668150475628,0.0,-0.0016662124650841964,-0.009637973412258386,-9.291226597221038e-05,1
10.0,3.0,0.0,-0.006994071445768316,-0.004672674807187781,-1.22712828423119e-05,1
9.547903099153668,2.850245401388697,0.0,-0.006775087989278974,-0.005078905354246443,4.405748660689664e-06,1
6.97366296493606,2.223020396282533,0.0,-0.0019944557879623005,-0.010012872501993172,-0.00015468575422684247,1
7.072173442264832,1.730673724312407,0.0,-0.0014600701189422226,-0.010053020982299925,-9.473356909373031e-05,1
7.948732688868448,1.816429879903127,0.0,-0.002041287928971397,-0.009150260448014778,-8.725638149652043e-05,1
8.657298018480674,2.324955286269978,0.0,-0.0043904662198890245,-0.006942876861110498,-2.1637954908086302e-05,1
7.0,0.0,0.0,-0.0010500000000000002,-0.0105,0.0,1
6.656979603717467,1.90633703506394,0.0,-0.0015817783479734593,-0.01034768263623715,-0.00012325320453617034,1
7.390242798042057,2.224659826899655,0.0,-0.002090725828524875,-0.009407980720901835,-0.00012252691036110011,1
